Name,User_Score,Critic_Score,Normalized_User_Score,Normalized_Critic_Score
Tom Clancy's Splinter Cell,8.5,93.0,0.8791208791208791,0.9411764705882353
FIFA 14,6.3,87.0,0.6373626373626373,0.8705882352941177
Killzone 2,8.1,91.0,0.8351648351648352,0.9176470588235294
Far Cry 3,8.6,91.0,0.8901098901098901,0.9176470588235294
Epic Mickey,7.0,73.0,0.7142857142857143,0.7058823529411765
NBA 2K13,7.2,88.0,0.7362637362637363,0.8823529411764706
Dragon Ball Z: Budokai Tenkaichi 3,9.2,73.0,0.956043956043956,0.7058823529411765
The Sims: Livin Large,6.6,82.0,0.6703296703296703,0.8117647058823529
World Soccer Winning Eleven 6 International,9.1,93.0,0.945054945054945,0.9411764705882353
Devil May Cry,8.5,94.0,0.8791208791208791,0.9529411764705882
Star Wars: The Old Republic,5.9,85.0,0.5934065934065935,0.8470588235294118
Middle-Earth: Shadow of Mordor,8.1,84.0,0.8351648351648352,0.8352941176470589
Sonic Heroes,7.8,64.0,0.8021978021978022,0.6
Hitman 2: Silent Assassin,7.8,85.0,0.8021978021978022,0.8470588235294118
Titanfall,6.4,86.0,0.6483516483516484,0.8588235294117647
Battlefield: Bad Company 2,8.5,88.0,0.8791208791208791,0.8823529411764706
SOCOM II: U.S. Navy SEALs,9.0,87.0,0.9340659340659341,0.8705882352941177
Pac-Man Collection,7.8,79.0,0.8021978021978022,0.7764705882352941
Street Fighter IV,7.3,93.0,0.7472527472527473,0.9411764705882353
inFAMOUS,8.3,85.0,0.8571428571428572,0.8470588235294118
Kirby Super Star Ultra,8.8,76.0,0.9120879120879122,0.7411764705882353
Call of Duty: Ghosts,4.3,78.0,0.4175824175824176,0.7647058823529411
Mass Effect,8.7,91.0,0.901098901098901,0.9176470588235294
Sonic Mega Collection Plus,8.6,73.0,0.8901098901098901,0.7058823529411765
World Soccer Winning Eleven 7 International,9.0,93.0,0.9340659340659341,0.9411764705882353
Sega Superstars Tennis,6.8,67.0,0.6923076923076923,0.6352941176470588
Hot Shots Golf 3,8.9,85.0,0.9230769230769231,0.8470588235294118
Cooking Mama: Cook Off,5.3,61.0,0.5274725274725275,0.5647058823529412
Call of Duty: Finest Hour,7.7,76.0,0.7912087912087913,0.7411764705882353
WarioWare: Smooth Moves,7.4,83.0,0.7582417582417583,0.8235294117647058
Madden NFL 13,5.8,81.0,0.5824175824175825,0.8
The Elder Scrolls III: Morrowind,8.7,87.0,0.901098901098901,0.8705882352941177
Assassin's Creed IV: Black Flag,7.8,83.0,0.8021978021978022,0.8235294117647058
Mortal Kombat,8.4,84.0,0.8681318681318682,0.8352941176470589
Madden NFL 10,6.1,85.0,0.6153846153846154,0.8470588235294118
BioShock,8.9,96.0,0.9230769230769231,0.9764705882352941
Metroid Prime,9.3,97.0,0.9670329670329672,0.9882352941176471
Assassin's Creed: Brotherhood,8.2,90.0,0.8461538461538461,0.9058823529411765
Medal of Honor,7.5,75.0,0.7692307692307693,0.7294117647058823
inFAMOUS: Second Son,7.9,80.0,0.8131868131868133,0.788235294117647
NBA Street,8.6,89.0,0.8901098901098901,0.8941176470588236
Jak II,8.2,87.0,0.8461538461538461,0.8705882352941177
Need for Speed: Hot Pursuit,7.2,89.0,0.7362637362637363,0.8941176470588236
Skylanders: Spyro's Adventure,5.6,81.0,0.5604395604395604,0.8
Battlefield 3,7.5,89.0,0.7692307692307693,0.8941176470588236
Mortal Kombat X,7.7,83.0,0.7912087912087913,0.8235294117647058
The Sims,7.7,83.0,0.7912087912087913,0.8235294117647058
Killzone 3,7.9,84.0,0.8131868131868133,0.8352941176470589
Star Wars: The Force Unleashed,6.7,73.0,0.6813186813186813,0.7058823529411765
