,release_year,genre
553,2019,"Casual,Indie,Simulation,Early Access"
554,2014,"Casual,Indie,Simulation"
555,2016,"Adventure,Indie"
556,2016,Design & Illustration
557,2017,"Action,Indie,Simulation,Early Access"
558,2018,"Action,Casual,Indie,Early Access"
559,nan,Strategy
560,2016,RPG
561,nan,"Simulation,Strategy"
562,2018,"Action,Adventure,Indie"
563,2004,Strategy
564,2014,RPG
565,1999,Action
566,2013,"Indie,RPG"
567,2015,"Action,Adventure,Indie"
568,nan,Action
569,nan,"Simulation,Strategy"
570,2016,"Action,Adventure,Casual,Free to Play,Massively Multiplayer,Sports,Early Access"
571,2015,"Adventure,Indie,RPG,Strategy"
572,2019,"Indie,RPG,Strategy"
573,2018,RPG
574,2018,"Action,Adventure,Indie,RPG,Early Access"
575,2018,Simulation
576,2017,"Action,Simulation,Strategy"
577,2018,RPG
578,2019,"Action,RPG,Early Access"
579,2004,Action
580,2015,"Animation & Modeling,Video Production"
581,2019,Action
582,2019,"Action,Adventure"
583,2018,"Action,Indie,Simulation,Early Access"
584,2015,"Action,Indie"
585,2017,"Action,Indie"
586,2012,"Action,Indie"
587,2014,Strategy
588,1997,Action
589,2014,"Adventure,Indie,Simulation"
590,2018,"Action,Indie,Simulation,Early Access"
591,2017,"Action,Free to Play"
592,2019,"Action,Adventure,RPG"
593,2004,Action
594,2017,"Casual,RPG,Simulation"
595,nan,Action
596,1998,Action
597,2017,Adventure
598,2019,"Action,Adventure,Indie,RPG,Early Access"
599,2014,"Action,Simulation"
600,2016,"Action,Indie,Early Access"
601,2016,Strategy
602,nan,"Indie,RPG,Strategy"
603,2016,Simulation
604,2016,"Adventure,Indie"
605,2016,"Action,Adventure"
606,2013,RPG
607,2016,"Action,Early Access"
608,2019,"Casual,Indie"
609,2019,"Action,Adventure,Casual,Indie,Strategy"
610,nan,Strategy
611,2019,Action
612,2013,"Action,Adventure"
613,2019,Strategy
614,2017,"Action,Adventure,Free to Play,Massively Multiplayer,RPG"
615,2018,"Action,Racing,Simulation,Sports"
616,2018,"Action,RPG,Strategy"
617,2018,Strategy
618,2015,"Indie,Simulation,Strategy"
619,2018,"Action,Massively Multiplayer,Racing"
620,2008,Strategy
621,2019,"Racing,Simulation,Sports"
622,2011,"Action,Indie,RPG,Strategy"
623,2019,"Indie,RPG,Simulation"
624,2013,"Free to Play,Massively Multiplayer,RPG"
625,2016,Simulation
626,2014,"Action,Adventure,Free to Play,Simulation,Sports"
627,2019,"Action,Indie,Strategy"
628,2017,"Adventure,Free to Play,RPG,Strategy"
629,2016,"Free to Play,Massively Multiplayer,Simulation,Strategy"
630,2014,"Casual,Indie"
631,2019,"Action,Adventure,RPG"
632,2016,"Action,Indie,Simulation,Strategy,Early Access"
633,2019,Action
634,2019,"Indie,Simulation,Strategy,Early Access"
635,2001,Strategy
636,2013,"Action,Adventure"
637,2018,"Indie,Simulation"
638,2018,"Indie,Racing,Simulation,Sports"
639,2014,"Action,Adventure,Casual,Free to Play,Massively Multiplayer,RPG"
640,2017,"Casual,Indie,Simulation,Strategy"
641,2014,"Action,Indie"
642,2018,Action
643,2010,"Action,Adventure,Casual,RPG"
644,nan,"Casual,Indie,Strategy"
645,nan,"Adventure,Indie,Simulation,Early Access"
